Id,Gracz1,Talia1,Gracz2,Talia2,Wynik
100043.0,A1,deck302071,A1,deck105300,PLAYER_0 WON
100044.0,A1,deck627915,A1,deck436067,PLAYER_1 WON
100045.0,A1,deck282007,A1,deck903183,PLAYER_1 WON
100046.0,A1,deck641640,A1,deck176591,PLAYER_0 WON
100047.0,A1,deck617141,A1,deck837527,PLAYER_0 WON
100048.0,A1,deck641640,A1,deck977215,PLAYER_1 WON
100049.0,A1,deck783787,A1,deck391141,PLAYER_0 WON
100050.0,A1,deck366895,A1,deck258203,PLAYER_0 WON
100051.0,A1,deck403780,A1,deck451743,PLAYER_0 WON
100052.0,A1,deck969031,A1,deck221951,PLAYER_0 WON
100053.0,A1,deck989685,A1,deck320009,PLAYER_0 WON
100054.0,A1,deck407479,A1,deck133303,PLAYER_0 WON
100055.0,A1,deck977098,A1,deck888127,PLAYER_1 WON
100056.0,A1,deck155935,A1,deck799024,PLAYER_0 WON
100057.0,A1,deck808552,A1,deck131055,PLAYER_0 WON
100058.0,A1,deck521715,A1,deck977215,PLAYER_1 WON
100059.0,A1,deck946613,A1,deck317767,PLAYER_0 WON
100060.0,A1,deck224475,A1,deck263413,PLAYER_0 WON
100061.0,A1,deck830694,A1,deck602149,PLAYER_1 WON
100062.0,A1,deck197966,A1,deck592944,PLAYER_1 WON
100063.0,A1,deck977098,A1,deck641640,PLAYER_1 WON
100064.0,A1,deck131055,A1,deck334039,PLAYER_0 WON
100065.0,A1,deck653728,A1,deck291987,PLAYER_1 WON
100066.0,A1,deck654326,A1,deck219364,PLAYER_0 WON
100067.0,A1,deck989685,A1,deck223990,PLAYER_0 WON
100068.0,A1,deck269754,A1,deck200965,PLAYER_1 WON
100069.0,A1,deck670754,A1,deck244293,PLAYER_1 WON
100070.0,A1,deck129599,A1,deck986078,PLAYER_0 WON
100071.0,A1,deck119710,A1,deck308276,PLAYER_1 WON
100072.0,A1,deck153074,A1,deck986078,PLAYER_0 WON
100073.0,A1,deck521300,A1,deck814743,PLAYER_1 WON
100074.0,A1,deck245923,A1,deck406855,PLAYER_0 WON
100075.0,A1,deck225037,A1,deck783787,PLAYER_0 WON
100076.0,A1,deck847742,A1,deck614162,PLAYER_0 WON
100077.0,A1,deck812681,A1,deck244293,PLAYER_0 WON
100078.0,A1,deck745865,A1,deck828038,PLAYER_1 WON
100079.0,A1,deck803497,A1,deck347973,PLAYER_1 WON
100080.0,A1,deck732668,A1,deck334039,PLAYER_0 WON
100081.0,A1,deck890652,A1,deck291856,PLAYER_1 WON
100082.0,A1,deck949788,A1,deck577453,PLAYER_1 WON
100083.0,A1,deck960125,A1,deck762334,PLAYER_0 WON
100084.0,A1,deck479272,A1,deck429204,PLAYER_0 WON
100085.0,A1,deck366877,A1,deck111556,PLAYER_1 WON
100086.0,A1,deck726303,A1,deck291856,PLAYER_0 WON
100087.0,A1,deck302164,A1,deck664916,PLAYER_0 WON
100088.0,A1,deck495146,A1,deck988426,PLAYER_1 WON
100089.0,A1,deck946613,A1,deck455144,PLAYER_0 WON
100090.0,A1,deck507077,A1,deck565877,PLAYER_0 WON
100091.0,A1,deck180045,A1,deck332096,PLAYER_0 WON
100092.0,A1,deck815183,A1,deck173092,PLAYER_1 WON
100093.0,A1,deck243381,A1,deck891273,PLAYER_0 WON
100094.0,A1,deck657484,A1,deck300589,PLAYER_1 WON
100095.0,A1,deck546129,A1,deck888127,PLAYER_0 WON
100096.0,A1,deck451743,A1,deck964828,PLAYER_0 WON
100097.0,A1,deck345175,A1,deck187420,PLAYER_0 WON
100098.0,A1,deck578264,A1,deck457830,PLAYER_0 WON
100099.0,A1,deck937172,A1,deck671405,PLAYER_0 WON
100100.0,A1,deck964828,A1,deck462119,PLAYER_0 WON
