,Id,Gracz1,Talia1,Gracz2,Talia2,Wynik
6513,106514.0,A1,deck578264,A1,deck550173,1
6605,106606.0,A1,deck525010,A1,deck834253,1
6609,106610.0,A1,deck599712,A1,deck380059,0
6619,106620.0,A1,deck151327,A1,deck822100,1
6629,106630.0,A1,deck615660,A1,deck550173,1
6652,106653.0,A1,deck929572,A1,deck762510,0
6682,106683.0,A1,deck986212,A1,deck366025,1
6707,106708.0,A1,deck332728,A1,deck924291,0
6770,106771.0,A1,deck565877,A1,deck664916,0
6803,106804.0,A1,deck929572,A1,deck702239,1
6861,106862.0,A1,deck155445,A1,deck361428,0
6862,106863.0,A1,deck337123,A1,deck151327,1
6922,106923.0,A1,deck605555,A1,deck302164,1
6939,106940.0,A1,deck371776,A1,deck391141,0
6943,106944.0,A1,deck295052,A1,deck380059,0
7007,107008.0,A1,deck550173,A1,deck989685,1
7063,107064.0,A1,deck912030,A1,deck952629,0
7107,107108.0,A1,deck912030,A1,deck126998,0
7112,107113.0,A1,deck679959,A1,deck924291,0
7116,107117.0,A1,deck308276,A1,deck371776,1
7140,107141.0,A1,deck929572,A1,deck197966,1
7142,107143.0,A1,deck834253,A1,deck224532,0
7143,107144.0,A1,deck615660,A1,deck578264,0
7217,107218.0,A1,deck411629,A1,deck716913,1
7324,107325.0,A1,deck631867,A1,deck366025,1
7348,107349.0,A1,deck986078,A1,deck631867,0
7363,107364.0,A1,deck302164,A1,deck411629,0
7453,107454.0,A1,deck366025,A1,deck197966,0
7461,107462.0,A1,deck302164,A1,deck847742,1
7497,107498.0,A1,deck912030,A1,deck434733,0
7500,107501.0,A1,deck989685,A1,deck371776,0
7523,107524.0,A1,deck651132,A1,deck605555,0
7616,107617.0,A1,deck989685,A1,deck366025,1
7686,107687.0,A1,deck605555,A1,deck986078,1
7717,107718.0,A1,deck956742,A1,deck197966,0
7800,107801.0,A1,deck707709,A1,deck780948,0
7882,107883.0,A1,deck599712,A1,deck929572,0
7908,107909.0,A1,deck290069,A1,deck434733,0
7986,107987.0,A1,deck822100,A1,deck380059,1
8040,108041.0,A1,deck964828,A1,deck366025,1
8070,108071.0,A1,deck736134,A1,deck411629,1
8095,108096.0,A1,deck679959,A1,deck902884,0
8131,108132.0,A1,deck295052,A1,deck295052,1
8183,108184.0,A1,deck986078,A1,deck651132,1
8189,108190.0,A1,deck483519,A1,deck986212,1
8197,108198.0,A1,deck707709,A1,deck434733,0
8199,108200.0,A1,deck366025,A1,deck411629,1
8269,108270.0,A1,deck956742,A1,deck631867,0
8286,108287.0,A1,deck681935,A1,deck151327,1
8288,108289.0,A1,deck979479,A1,deck799024,0
8289,108290.0,A1,deck757429,A1,deck434733,1
8379,108380.0,A1,deck483519,A1,deck411629,1
8427,108428.0,A1,deck912030,A1,deck702239,0
8440,108441.0,A1,deck952629,A1,deck525010,0
8442,108443.0,A1,deck290069,A1,deck762510,1
8473,108474.0,A1,deck780948,A1,deck924291,0
8496,108497.0,A1,deck648089,A1,deck197966,0
8594,108595.0,A1,deck664916,A1,deck599712,0
8596,108597.0,A1,deck308276,A1,deck780948,0
8854,108855.0,A1,deck986212,A1,deck631867,0
8890,108891.0,A1,deck809243,A1,deck739870,0
8895,108896.0,A1,deck565877,A1,deck743088,1
9023,109024.0,A1,deck483519,A1,deck455144,1
9028,109029.0,A1,deck371776,A1,deck902884,1
9038,109039.0,A1,deck929572,A1,deck956742,0
9039,109040.0,A1,deck565877,A1,deck126998,0
9083,109084.0,A1,deck391141,A1,deck664916,0
9151,109152.0,A1,deck631867,A1,deck986078,0
9169,109170.0,A1,deck814743,A1,deck929572,0
9170,109171.0,A1,deck834253,A1,deck757429,0
9204,109205.0,A1,deck736134,A1,deck455144,0
9213,109214.0,A1,deck912030,A1,deck702239,0
9216,109217.0,A1,deck374740,A1,deck912030,0
9244,109245.0,A1,deck964828,A1,deck757429,0
9250,109251.0,A1,deck902884,A1,deck679959,0
9261,109262.0,A1,deck664916,A1,deck151327,0
9263,109264.0,A1,deck783787,A1,deck380059,0
9412,109413.0,A1,deck664916,A1,deck924291,0
9413,109414.0,A1,deck679959,A1,deck391141,1
9420,109421.0,A1,deck155445,A1,deck651132,1
9473,109474.0,A1,deck681935,A1,deck434733,0
9603,109604.0,A1,deck290069,A1,deck953788,0
9655,109656.0,A1,deck667883,A1,deck371776,0
9687,109688.0,A1,deck716913,A1,deck615660,0
9695,109696.0,A1,deck902884,A1,deck716913,1
9752,109753.0,A1,deck809243,A1,deck380067,1
9755,109756.0,A1,deck361428,A1,deck361428,1
9817,109818.0,A1,deck964828,A1,deck361428,1
9832,109833.0,A1,deck483519,A1,deck953788,0
9843,109844.0,A1,deck525010,A1,deck953788,0
9949,109950.0,A1,deck929572,A1,deck664916,1
9981,109982.0,A1,deck155445,A1,deck834253,1
9998,109999.0,A1,deck702239,A1,deck667883,0
10048,110049.0,A1,deck599712,A1,deck418344,0
10116,110117.0,A1,deck374740,A1,deck290069,1
10164,110165.0,A1,deck667883,A1,deck822100,0
10226,110227.0,A1,deck929572,A1,deck834253,1
10258,110259.0,A1,deck783787,A1,deck599712,0
10278,110279.0,A1,deck615660,A1,deck953788,0
10317,110318.0,A1,deck155445,A1,deck736134,1
10365,110366.0,A1,deck565877,A1,deck411629,1
10447,110448.0,A1,deck391141,A1,deck615660,0
10470,110471.0,A1,deck757429,A1,deck337123,0
10488,110489.0,A1,deck681935,A1,deck964828,1
10549,110550.0,A1,deck371776,A1,deck155445,1
10553,110554.0,A1,deck762510,A1,deck989685,0
10582,110583.0,A1,deck956742,A1,deck374740,1
10694,110695.0,A1,deck912030,A1,deck762510,0
10797,110798.0,A1,deck418344,A1,deck736134,0
10826,110827.0,A1,deck743088,A1,deck631867,0
10851,110852.0,A1,deck295052,A1,deck631867,1
10859,110860.0,A1,deck578264,A1,deck380067,1
10898,110899.0,A1,deck483519,A1,deck151327,0
10908,110909.0,A1,deck912030,A1,deck953788,1
10917,110918.0,A1,deck525929,A1,deck455144,1
10940,110941.0,A1,deck783787,A1,deck615660,0
10942,110943.0,A1,deck455144,A1,deck308276,0
10977,110978.0,A1,deck651132,A1,deck799024,0
11056,111057.0,A1,deck681935,A1,deck702239,0
11061,111062.0,A1,deck834253,A1,deck374740,0
11072,111073.0,A1,deck902884,A1,deck197966,0
11082,111083.0,A1,deck799024,A1,deck295052,0
11109,111110.0,A1,deck924291,A1,deck458651,0
11129,111130.0,A1,deck964828,A1,deck681935,1
11204,111205.0,A1,deck739870,A1,deck847742,0
11208,111209.0,A1,deck374740,A1,deck679959,0
11232,111233.0,A1,deck455144,A1,deck332728,0
11239,111240.0,A1,deck762510,A1,deck986212,1
11269,111270.0,A1,deck783787,A1,deck380059,1
11317,111318.0,A1,deck667883,A1,deck458651,1
11367,111368.0,A1,deck295052,A1,deck651132,1
11368,111369.0,A1,deck302164,A1,deck799024,0
11509,111510.0,A1,deck809243,A1,deck380059,0
11510,111511.0,A1,deck197966,A1,deck155445,1
11527,111528.0,A1,deck822100,A1,deck809243,1
11539,111540.0,A1,deck308276,A1,deck605555,0
11557,111558.0,A1,deck525929,A1,deck799024,0
11659,111660.0,A1,deck302164,A1,deck391141,0
11680,111681.0,A1,deck550173,A1,deck455144,0
11719,111720.0,A1,deck667883,A1,deck615660,0
11766,111767.0,A1,deck126998,A1,deck224532,1
11984,111985.0,A1,deck736134,A1,deck953788,0
12056,112057.0,A1,deck374740,A1,deck599712,1
12071,112072.0,A1,deck929572,A1,deck736134,0
12077,112078.0,A1,deck912030,A1,deck525010,0
12085,112086.0,A1,deck458651,A1,deck814743,0
12091,112092.0,A1,deck605555,A1,deck599712,1
12096,112097.0,A1,deck809243,A1,deck809243,0
12168,112169.0,A1,deck525929,A1,deck361428,0
12207,112208.0,A1,deck434733,A1,deck681935,1
12229,112230.0,A1,deck366025,A1,deck615660,0
12245,112246.0,A1,deck743088,A1,deck302164,0
12265,112266.0,A1,deck912030,A1,deck605555,0
12281,112282.0,A1,deck736134,A1,deck736134,1
12298,112299.0,A1,deck986212,A1,deck455144,1
12309,112310.0,A1,deck332728,A1,deck332728,0
12320,112321.0,A1,deck615660,A1,deck912030,0
12361,112362.0,A1,deck337123,A1,deck371776,0
12368,112369.0,A1,deck664916,A1,deck834253,1
12375,112376.0,A1,deck739870,A1,deck525010,1
12392,112393.0,A1,deck151327,A1,deck809243,1
12420,112421.0,A1,deck290069,A1,deck290069,0
12429,112430.0,A1,deck762510,A1,deck366025,1
12477,112478.0,A1,deck565877,A1,deck953788,1
12484,112485.0,A1,deck525010,A1,deck667883,0
12558,112559.0,A1,deck455144,A1,deck308276,0
12655,112656.0,A1,deck391141,A1,deck380067,1
12666,112667.0,A1,deck956742,A1,deck956742,1
12711,112712.0,A1,deck550173,A1,deck780948,1
12724,112725.0,A1,deck956742,A1,deck631867,1
12775,112776.0,A1,deck578264,A1,deck757429,1
12783,112784.0,A1,deck834253,A1,deck814743,0
12787,112788.0,A1,deck295052,A1,deck290069,0
12817,112818.0,A1,deck743088,A1,deck780948,0
12878,112879.0,A1,deck599712,A1,deck525010,0
13040,113041.0,A1,deck707709,A1,deck290069,0
13042,113043.0,A1,deck809243,A1,deck458651,1
13078,113079.0,A1,deck197966,A1,deck736134,1
13096,113097.0,A1,deck525010,A1,deck834253,1
13123,113124.0,A1,deck599712,A1,deck681935,1
13144,113145.0,A1,deck295052,A1,deck197966,0
13166,113167.0,A1,deck455144,A1,deck679959,1
13167,113168.0,A1,deck822100,A1,deck799024,0
13196,113197.0,A1,deck929572,A1,deck371776,0
13302,113303.0,A1,deck989685,A1,deck565877,1
13318,113319.0,A1,deck648089,A1,deck458651,0
13377,113378.0,A1,deck599712,A1,deck929572,0
13402,113403.0,A1,deck716913,A1,deck525010,0
13517,113518.0,A1,deck605555,A1,deck483519,0
13550,113551.0,A1,deck783787,A1,deck380067,0
13552,113553.0,A1,deck929572,A1,deck418344,0
13597,113598.0,A1,deck989685,A1,deck126998,0
13600,113601.0,A1,deck197966,A1,deck550173,1
13601,113602.0,A1,deck366025,A1,deck664916,1
13615,113616.0,A1,deck380059,A1,deck332728,0
13631,113632.0,A1,deck290069,A1,deck979479,0
13664,113665.0,A1,deck736134,A1,deck681935,0
13714,113715.0,A1,deck716913,A1,deck757429,1
13748,113749.0,A1,deck780948,A1,deck411629,1
13810,113811.0,A1,deck979479,A1,deck648089,1
13820,113821.0,A1,deck525010,A1,deck780948,1
13874,113875.0,A1,deck391141,A1,deck989685,0
13908,113909.0,A1,deck337123,A1,deck707709,1
13940,113941.0,A1,deck550173,A1,deck458651,1
13944,113945.0,A1,deck302164,A1,deck295052,1
13953,113954.0,A1,deck667883,A1,deck707709,0
13975,113976.0,A1,deck986078,A1,deck197966,0
14032,114033.0,A1,deck483519,A1,deck834253,0
14051,114052.0,A1,deck578264,A1,deck780948,1
14107,114108.0,A1,deck651132,A1,deck834253,0
14127,114128.0,A1,deck361428,A1,deck411629,1
14198,114199.0,A1,deck374740,A1,deck757429,0
14200,114201.0,A1,deck716913,A1,deck599712,1
14202,114203.0,A1,deck651132,A1,deck550173,1
14247,114248.0,A1,deck651132,A1,deck308276,1
14274,114275.0,A1,deck302164,A1,deck979479,1
14282,114283.0,A1,deck380067,A1,deck757429,1
14303,114304.0,A1,deck337123,A1,deck126998,1
14311,114312.0,A1,deck986078,A1,deck681935,1
14325,114326.0,A1,deck834253,A1,deck707709,0
14337,114338.0,A1,deck308276,A1,deck707709,1
14371,114372.0,A1,deck953788,A1,deck391141,1
14392,114393.0,A1,deck924291,A1,deck667883,1
14397,114398.0,A1,deck834253,A1,deck337123,0
14403,114404.0,A1,deck989685,A1,deck986212,1
14461,114462.0,A1,deck599712,A1,deck924291,0
14466,114467.0,A1,deck411629,A1,deck483519,0
14538,114539.0,A1,deck615660,A1,deck332728,0
14574,114575.0,A1,deck483519,A1,deck197966,0
14596,114597.0,A1,deck986212,A1,deck924291,0
14703,114704.0,A1,deck458651,A1,deck757429,1
14725,114726.0,A1,deck290069,A1,deck956742,0
14750,114751.0,A1,deck757429,A1,deck986212,0
14752,114753.0,A1,deck380067,A1,deck578264,1
14790,114791.0,A1,deck605555,A1,deck302164,1
14842,114843.0,A1,deck702239,A1,deck681935,1
14910,114911.0,A1,deck374740,A1,deck757429,1
14959,114960.0,A1,deck308276,A1,deck525929,0
14961,114962.0,A1,deck648089,A1,deck434733,0
14963,114964.0,A1,deck902884,A1,deck290069,1
15008,115009.0,A1,deck411629,A1,deck707709,0
15044,115045.0,A1,deck483519,A1,deck809243,0
15051,115052.0,A1,deck332728,A1,deck371776,0
15065,115066.0,A1,deck418344,A1,deck565877,0
15090,115091.0,A1,deck411629,A1,deck956742,1
15147,115148.0,A1,deck302164,A1,deck380067,0
15165,115166.0,A1,deck380067,A1,deck822100,0
15168,115169.0,A1,deck822100,A1,deck631867,1
15177,115178.0,A1,deck757429,A1,deck648089,0
15180,115181.0,A1,deck374740,A1,deck681935,1
15219,115220.0,A1,deck952629,A1,deck605555,0
15244,115245.0,A1,deck780948,A1,deck847742,0
15262,115263.0,A1,deck956742,A1,deck952629,0
15286,115287.0,A1,deck380067,A1,deck151327,0
15337,115338.0,A1,deck780948,A1,deck155445,0
15382,115383.0,A1,deck681935,A1,deck952629,1
15396,115397.0,A1,deck834253,A1,deck762510,0
15410,115411.0,A1,deck757429,A1,deck964828,0
15543,115544.0,A1,deck380067,A1,deck380067,1
15665,115666.0,A1,deck308276,A1,deck780948,0
15667,115668.0,A1,deck979479,A1,deck736134,0
15688,115689.0,A1,deck757429,A1,deck834253,1
15775,115776.0,A1,deck681935,A1,deck902884,0
15777,115778.0,A1,deck578264,A1,deck681935,1
15782,115783.0,A1,deck380059,A1,deck681935,1
15806,115807.0,A1,deck155445,A1,deck956742,0
15811,115812.0,A1,deck986078,A1,deck743088,0
15832,115833.0,A1,deck648089,A1,deck565877,1
15874,115875.0,A1,deck565877,A1,deck679959,1
15878,115879.0,A1,deck986212,A1,deck667883,1
15951,115952.0,A1,deck337123,A1,deck483519,0
15954,115955.0,A1,deck361428,A1,deck707709,1
15995,115996.0,A1,deck224532,A1,deck525010,0
16041,116042.0,A1,deck295052,A1,deck550173,0
16115,116116.0,A1,deck374740,A1,deck964828,0
16150,116151.0,A1,deck809243,A1,deck418344,0
16190,116191.0,A1,deck953788,A1,deck902884,1
16202,116203.0,A1,deck411629,A1,deck783787,0
16325,116326.0,A1,deck912030,A1,deck418344,0
16339,116340.0,A1,deck716913,A1,deck458651,1
16342,116343.0,A1,deck578264,A1,deck648089,1
16355,116356.0,A1,deck762510,A1,deck743088,1
16433,116434.0,A1,deck197966,A1,deck337123,1
16444,116445.0,A1,deck155445,A1,deck391141,0
16454,116455.0,A1,deck411629,A1,deck380067,1
16553,116554.0,A1,deck814743,A1,deck380067,0
16566,116567.0,A1,deck224532,A1,deck308276,0
16593,116594.0,A1,deck664916,A1,deck847742,0
16625,116626.0,A1,deck707709,A1,deck308276,0
16721,116722.0,A1,deck952629,A1,deck151327,1
16759,116760.0,A1,deck651132,A1,deck418344,0
16760,116761.0,A1,deck380067,A1,deck847742,1
16773,116774.0,A1,deck605555,A1,deck664916,0
16799,116800.0,A1,deck739870,A1,deck912030,1
16807,116808.0,A1,deck716913,A1,deck525010,1
16845,116846.0,A1,deck458651,A1,deck743088,1
16870,116871.0,A1,deck434733,A1,deck550173,1
16889,116890.0,A1,deck290069,A1,deck391141,1
16940,116941.0,A1,deck986078,A1,deck964828,0
16941,116942.0,A1,deck374740,A1,deck648089,1
16968,116969.0,A1,deck809243,A1,deck814743,0
16993,116994.0,A1,deck197966,A1,deck757429,1
17022,117023.0,A1,deck809243,A1,deck964828,1
17118,117119.0,A1,deck667883,A1,deck411629,1
17125,117126.0,A1,deck337123,A1,deck366025,0
17167,117168.0,A1,deck151327,A1,deck380059,1
17179,117180.0,A1,deck822100,A1,deck361428,0
17190,117191.0,A1,deck834253,A1,deck332728,0
17238,117239.0,A1,deck739870,A1,deck953788,0
17288,117289.0,A1,deck809243,A1,deck780948,0
17335,117336.0,A1,deck924291,A1,deck308276,1
17345,117346.0,A1,deck550173,A1,deck525010,0
17375,117376.0,A1,deck651132,A1,deck565877,0
17441,117442.0,A1,deck631867,A1,deck550173,0
17467,117468.0,A1,deck822100,A1,deck964828,0
17566,117567.0,A1,deck814743,A1,deck615660,0
17667,117668.0,A1,deck956742,A1,deck667883,1
17673,117674.0,A1,deck651132,A1,deck361428,0
17695,117696.0,A1,deck371776,A1,deck822100,0
17730,117731.0,A1,deck380067,A1,deck418344,1
17766,117767.0,A1,deck953788,A1,deck979479,0
17811,117812.0,A1,deck953788,A1,deck924291,0
17835,117836.0,A1,deck631867,A1,deck953788,1
17842,117843.0,A1,deck964828,A1,deck743088,1
17881,117882.0,A1,deck361428,A1,deck702239,1
17933,117934.0,A1,deck664916,A1,deck525929,1
17935,117936.0,A1,deck434733,A1,deck374740,0
17965,117966.0,A1,deck295052,A1,deck525929,0
17970,117971.0,A1,deck525010,A1,deck964828,0
18053,118054.0,A1,deck799024,A1,deck757429,0
18069,118070.0,A1,deck197966,A1,deck224532,1
18116,118117.0,A1,deck956742,A1,deck302164,0
18204,118205.0,A1,deck799024,A1,deck550173,1
18397,118398.0,A1,deck631867,A1,deck302164,1
18431,118432.0,A1,deck989685,A1,deck667883,0
18446,118447.0,A1,deck956742,A1,deck989685,0
18480,118481.0,A1,deck151327,A1,deck295052,0
18484,118485.0,A1,deck605555,A1,deck224532,1
18502,118503.0,A1,deck716913,A1,deck743088,0
18507,118508.0,A1,deck979479,A1,deck799024,0
18549,118550.0,A1,deck736134,A1,deck411629,0
18558,118559.0,A1,deck599712,A1,deck780948,1
18559,118560.0,A1,deck418344,A1,deck578264,1
18572,118573.0,A1,deck964828,A1,deck953788,0
18575,118576.0,A1,deck956742,A1,deck458651,0
18585,118586.0,A1,deck739870,A1,deck956742,0
18643,118644.0,A1,deck964828,A1,deck822100,0
